FISCAL_YEAR,MONTH,YEAR,SHIPMENT_INVC_DATE,CARRIER,PO,SHIPMENT_REF,PRO_INV,SHIPMENT_VOUCHER_ID,VENDOR,VENDOR_INV,PO_VOUCHER_ID,PO_INVC_DATE,PO,ITEM_ID,FREIGHT_TOTAL,PO_ID,TOTAL_QTY_PAID,QTY,UNIT_PRICE,STK_PUR_RATIO,FREIGHT_STK_PUR,MATERIAL_COST,OUTSIDE_COST,TCM_OUT,FRT_VS_OUTSIDE_COST,ACCT_ID
2020,9,2020,10/19/2020,1145,100117,100117 VG96,11656648-0,208781,3225,INV-162975,208707,9/30/2020,100117,VG96,1290,100117,40200,40200,0.21,1,0.03,0.0321,0.03,0.024,0.006,5046
2020,9,2020,10/14/2020,20492,100189,100189 SB97,2724992,208677,20440,91157974,208589,9/30/2020,100189,SB97,76.54,100189,1653,1653,5.43,1,0.05,0.0463,0.05,0.0463,0.0037,5046
2020,9,2020,10/14/2020,20492,100353,100353 LW68LW89,2726677,208673,22380,40936,208769,9/30/2020,100353,LW68,86.91,100353,1350,551,1.81,0.0923,0.06,0.6975,0.7,0.5191,0.1809,5046
2020,9,2020,10/14/2020,20492,100353,100353 LW68LW89,2726677,208673,22380,40936,208769,9/30/2020,100353,LW89,86.91,100353,1350,1350,2.86,0.1199,0.06,0.5369,0.54,0.3996,0.1404,5046
2020,9,2020,10/14/2020,20492,100355,100355 LA60,2728721,208674,24043,173907,208654,9/30/2020,100355,LA60,69.26,100355,450,450,1.26,0.1205,0.15,1.2773,1.28,0.3362,0.9438,5046
2020,9,2020,10/14/2020,2200,99217,99217 VG32,129205A,208661,12551,73129914 RI,208340,9/29/2020,99217,VG32,1200,99217,56160,56160,0.22,1,0.02,0.0214,0.02,0.024,-0.004,5046
2020,9,2020,10/14/2020,2200,99218,99218 VG32,129206A,208662,12551,73129840 RI,208339,9/29/2020,99218,VG32,1200,99218,56160,56160,0.22,1,0.02,0.0214,0.02,0.024,-0.004,5046
2020,9,2020,10/26/2020,1004,99698,99698 WM117,19247010,209027,27228,INV00401140,208327,9/29/2020,99698,WM117,176.15,99698,251250,251250,0.04,1,0,0.0007,0,0.0007,-0.0007,5046
2020,9,2020,10/26/2020,1004,100253,100253 LS14,17300613,209028,22172,90848397,208627,9/29/2020,100253,LS14,194.4,100253,1800,1800,1.39,0.1199,0.11,0.9008,0.9,1.1909,-0.2909,5046
2020,9,2020,10/14/2020,21355,99334,99334 VE22,57571,208678,12551,73129287 RI,208710,9/28/2020,99334,VE22,5400,99334,12180,12180,0.72,1,0.44,0.4433,0.44,0.3703,0.0697,5046
2020,9,2020,10/2/2020,20492,100303,100303 LA61,2721718,208389,24043,173842,208655,9/28/2020,100303,LA61,226.53,100303,8800,8800,1.25,0.1188,0.03,0.2167,0.22,0.1358,0.0842,5046
2020,9,2020,12/28/2020,20492,100100,1001000LB50LA16,2846563,210659,24055,INV-309603,208205,9/25/2020,100100,5351KNA052,229.32,100100,48,24,29.45,1,4.78,4.7775,4.78,1,3.78,5046
2020,9,2020,12/28/2020,20492,100100,1001000LB50LA16,2846563,210659,24055,INV-309603,208205,9/25/2020,100100,5356KNA050,229.32,100100,48,48,27.76,1,4.78,4.7775,4.78,1,3.78,5046
2020,9,2020,10/2/2020,20492,100303,100303 LA61,2721718,208389,24043,173807,208656,9/25/2020,100303,LA61,226.53,100303,2200,2200,1.27,0.1188,0.1,0.8667,0.87,0.1358,0.7342,5046
2020,9,2020,10/2/2020,20492,100303,100303 LA61,2721718,208389,24043,173807,208656,9/25/2020,100303,LB50,226.53,100303,2205,2205,0.87,0.1136,0.1,0.9044,0.9,0.1986,0.7014,5046
2020,9,2020,10/2/2020,20492,100312,100312 LD10,2721721,208388,24043,173809,208334,9/25/2020,100312,LB50,76.6,100312,2205,2205,0.87,0.1136,0.03,0.3058,0.31,0.1986,0.1114,5046
2020,9,2020,10/2/2020,20492,100312,100312 LD10,2721721,208388,24043,173843,208305,9/25/2020,100312,LD10,76.6,100312,1800,1800,1.37,0.1153,0.04,0.3691,0.37,0.3637,0.0063,5046
2020,9,2020,9/26/2020,13066,98988,98988 VI35,3871228,208162,27228,INV00400870,208505,9/24/2020,98988,VI35,1290,98988,8840,8840,0.33,1,0.15,0.1459,0.15,0.0214,0.1286,5046
2020,9,2020,10/19/2020,1004,100124,100124 VI01,18740917,208780,3225,INV-161500,208311,9/24/2020,100124,VI01,552.99,100124,13440,13440,0.13,1,0.04,0.0411,0.04,0.0411,-0.0011,5046
2020,9,2020,10/2/2020,20492,100256,100256 LA27LA32,2714799,208362,20100,677396,208118,9/24/2020,100256,LA27,94.33,100256,1780,1780,1.6,0.1214,0.05,0.4365,0.44,0.3286,0.1114,5046
2020,9,2020,10/2/2020,20492,100256,100256 LA27LA32,2714799,208362,20100,677396,208118,9/24/2020,100256,LA32,94.33,100256,1780,415,2.71,0.1294,0.05,0.4095,0.41,0.4433,-0.0333,5046
2020,9,2020,10/2/2020,1145,99260,99260 VI35,1163380-0,208366,27228,INV00400683,208124,9/21/2020,99260,VI35,1290,99260,123760,123760,0.33,1,0.01,0.0104,0.01,0.0214,-0.0114,5046
2020,9,2020,9/26/2020,20492,99983,99983 LC01,2713308,208196,20440,91155935,208120,9/21/2020,99983,LC01,127,99983,3200,3200,3.51,0.1298,0.04,0.3058,0.31,0.217,0.093,5046
